-----------------------------------------------------------
Server listening on 9002 (test #1)
-----------------------------------------------------------
Accepted connection from 10.113.0.2, port 45877
[  6] local 10.113.0.1 port 9002 connected to 10.113.0.2 port 41236
[ ID] Interval           Transfer     Bitrate         Jitter    Lost/Total Datagrams
[  6]  57.00-58.00  sec   120 KBytes   984 Kbits/sec  0.143 ms  1302/1387 (94%)  
[  6]  58.00-59.00  sec   119 KBytes   973 Kbits/sec  0.218 ms  1285/1369 (94%)  
[  6]  59.00-60.00  sec  53.7 KBytes   440 Kbits/sec  0.181 ms  571/609 (94%)  
[  6]  60.00-61.00  sec  56.6 KBytes   464 Kbits/sec  0.254 ms  838/878 (95%)  
[  6]  61.00-62.00  sec   110 KBytes   903 Kbits/sec  0.502 ms  2482/2560 (97%)  
[  6]  62.00-63.00  sec  74.9 KBytes   614 Kbits/sec  0.247 ms  1401/1454 (96%)  
[  6]  63.00-64.00  sec  65.0 KBytes   532 Kbits/sec  0.218 ms  1027/1073 (96%)  
[  6]  64.00-65.00  sec  48.1 KBytes   394 Kbits/sec  0.373 ms  595/629 (95%)  
[  6]  65.00-66.00  sec   115 KBytes   939 Kbits/sec  0.265 ms  2265/2346 (97%)  
[  6]  66.00-67.00  sec  73.5 KBytes   602 Kbits/sec  0.171 ms  1294/1346 (96%)  
[  6]  67.00-68.00  sec  89.1 KBytes   730 Kbits/sec  0.281 ms  1349/1412 (96%)  
[  6]  68.00-69.00  sec  62.2 KBytes   510 Kbits/sec  0.235 ms  976/1020 (96%)  
[  6]  69.00-70.00  sec  86.3 KBytes   707 Kbits/sec  1.069 ms  1726/1787 (97%)  
[  6]  70.00-71.00  sec  5.66 KBytes  46.3 Kbits/sec  0.993 ms  146/150 (97%)  
[  6]  71.00-72.00  sec  87.7 KBytes   720 Kbits/sec  0.320 ms  2635/2697 (98%)  
[  6]  72.00-73.00  sec   120 KBytes   985 Kbits/sec  0.228 ms  1301/1386 (94%)  
[  6]  73.00-74.00  sec   119 KBytes   973 Kbits/sec  0.250 ms  1287/1371 (94%)  
[  6]  74.00-75.00  sec   120 KBytes   985 Kbits/sec  0.894 ms  1301/1386 (94%)  
[  6]  75.00-76.00  sec   120 KBytes   984 Kbits/sec  0.383 ms  1301/1386 (94%)  
[  6]  76.00-77.00  sec   119 KBytes   973 Kbits/sec  0.199 ms  1286/1370 (94%)  
[  6]  77.00-78.00  sec   120 KBytes   985 Kbits/sec  0.190 ms  1302/1387 (94%)  
[  6]  78.00-79.00  sec   120 KBytes   985 Kbits/sec  0.190 ms  1301/1386 (94%)  
[  6]  79.00-80.00  sec   120 KBytes   982 Kbits/sec  0.953 ms  1299/1384 (94%)  
[  6]  80.00-81.00  sec   119 KBytes   975 Kbits/sec  0.269 ms  1286/1370 (94%)  
[  6]  81.00-82.00  sec   120 KBytes   985 Kbits/sec  0.190 ms  1303/1388 (94%)  
[  6]  82.00-83.00  sec   120 KBytes   985 Kbits/sec  0.161 ms  1300/1385 (94%)  
[  6]  83.00-84.00  sec   119 KBytes   973 Kbits/sec  0.193 ms  1287/1371 (94%)  
[  6]  84.00-85.00  sec   120 KBytes   984 Kbits/sec  2.265 ms  1301/1386 (94%)  
[  6]  85.00-86.00  sec   120 KBytes   985 Kbits/sec  0.353 ms  1301/1386 (94%)  
[  6]  86.00-87.00  sec   119 KBytes   973 Kbits/sec  0.231 ms  1287/1371 (94%)  
[  6]  87.00-88.00  sec   120 KBytes   985 Kbits/sec  0.335 ms  1302/1387 (94%)  
